user id: 00008b,start time: 1659797010558
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659797187191","Closing the timer.","04-Task2Scene","False","(-2.12, -0.14, 0.05)","(0.60, 0.44, 0.67)","(0.00, 0.00, 0.00)","","null","null","(-1.84, 0.03, 0.31)","(-1.83, -0.04, 0.22)","(-2.12, -0.14, 0.05)","(0.60, 0.44, 0.67)","(0.00, 0.00, 0.00)","","(-0.22, 0.90, 2.09)","(-1.80, 0.00, 0.52)","(-1.66, 0.00, 0.39)","","closing_timer"
"1659797188220","Instantiating instructions.","04-Task2Scene","False","(-2.11, -0.15, 0.02)","(0.63, 0.40, 0.66)","(-2.04, -0.11, 0.09)","Quad","null","null","null","null","(-2.11, -0.15, 0.02)","(0.63, 0.40, 0.66)","(-2.04, -0.11, 0.09)","Quad","(-0.32, 0.99, 2.15)","","","","showing_instructions"
"1659797196424","Instructions finished.","04-Task2Scene","False","(-2.10, -0.20, -0.03)","(0.76, -0.21, 0.62)","(-1.40, -0.40, 0.55)","Header Text","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-2.10, -0.20, -0.03)","(0.76, -0.21, 0.62)","(-1.40, -0.40, 0.55)","Header Text","","","","","instructions_finished"
"1659797197452","Reseting both buttons.","04-Task2Scene","False","(-2.12, -0.20, -0.04)","(0.84, -0.19, 0.50)","(-2.04, -0.22, 0.01)","Quad","null","null","null","null","(-2.12, -0.20, -0.04)","(0.84, -0.19, 0.50)","(-2.04, -0.22, 0.01)","Quad","","","","",""
"1659797204823","Button 2 pressed, playing animation 2.","04-Task2Scene","False","(-2.17, -0.16, 0.04)","(0.70, 0.22, 0.68)","(0.00, 0.00, 0.00)","","null","null","(-1.54, -0.22, 0.35)","(-1.61, -0.24, 0.26)","(-2.17, -0.16, 0.04)","(0.70, 0.22, 0.68)","(0.00, 0.00, 0.00)","","(0.15, 0.21, 1.85)","(-1.77, -0.16, 0.45)","(-1.64, -0.16, 0.30)","","button2_pressed"
"1659797211852","Animation finished.","04-Task2Scene","False","(-2.18, -0.21, -0.03)","(0.81, -0.33, 0.48)","(0.00, 0.00, 0.00)","","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-2.18, -0.21, -0.03)","(0.81, -0.33, 0.48)","(0.00, 0.00, 0.00)","","(-0.70, -1.36, 0.84)","","","","animation_finished"
"1659797212852","Instantiating middle instructions.","04-Task2Scene","False","(-2.12, -0.22, 0.02)","(0.75, -0.39, 0.54)","(-2.04, -0.26, 0.08)","Quad","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-2.12, -0.22, 0.02)","(0.75, -0.39, 0.54)","(-2.04, -0.26, 0.08)","Quad","(-0.73, -1.44, 0.89)","","","",""
"1659797212854","Instantiating instructions.","04-Task2Scene","False","(-2.12, -0.22, 0.02)","(0.75, -0.39, 0.54)","(-2.04, -0.26, 0.08)","Quad","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-2.12, -0.22, 0.02)","(0.75, -0.39, 0.54)","(-2.04, -0.26, 0.08)","Quad","(-0.73, -1.44, 0.89)","","","","showing_instructions"
"1659797220417","Instructions finished.","04-Task2Scene","False","(-2.21, -0.20, -0.30)","(-0.04, 0.32, 0.94)","(0.00, 0.00, 0.00)","","null","null","null","null","(-2.21, -0.20, -0.30)","(-0.04, 0.32, 0.94)","(0.00, 0.00, 0.00)","","","","","","instructions_finished"
"1659797221450","Middle instructions finished, starting the timer.","04-Task2Scene","False","(-2.20, -0.20, -0.20)","(0.12, 0.19, 0.97)","(-2.19, -0.18, -0.13)","Quad","null","null","null","null","(-2.20, -0.20, -0.20)","(0.12, 0.19, 0.97)","(-2.19, -0.18, -0.13)","Quad","","","","",""
"1659797221450","Openning the timer.","04-Task2Scene","False","(-2.20, -0.20, -0.20)","(0.12, 0.19, 0.97)","(-2.19, -0.18, -0.13)","Quad","null","null","null","null","(-2.20, -0.20, -0.20)","(0.12, 0.19, 0.97)","(-2.19, -0.18, -0.13)","Quad","","","","","openning_timer"
"1659797231454","User failed to press the button on time, instantaiting failed instructions.","04-Task2Scene","False","(-1.85, -0.15, 0.11)","(-0.13, 0.26, 0.96)","(0.00, 0.00, 0.00)","","null","null","null","null","(-1.85, -0.15, 0.11)","(-0.13, 0.26, 0.96)","(0.00, 0.00, 0.00)","","(-2.46, 0.58, 2.94)","(-2.11, -0.07, 0.66)","(-1.91, -0.07, 0.70)","","user_failed"
